cj,gg,name,price,price2,券后价,xq
杭州朱养心药业有限公司,规格：40mg*7片,非布司他片,54,,49.7,效期： 2023-08-31 
四川逢春制药有限公司,规格：15g*10袋,银翘解毒颗粒,,￥6.20,,效期： 2021-12-31 
广西金页制药有限公司,规格：100片,复方感冒灵片,3.2,,2.94,效期： 2021-10-31 
上市许可持有人：浙江华缔药业集团有限责任公司受托生产企业：杭州华津药业股份有限公司,规格：3mg：100ug*24粒,转移因子胶囊,6.5,,5.98,效期： 2021-10-28 
西安利君制药有限责任公司,规格：0.1g10袋,琥乙红霉素颗粒,5.7,,5.25,效期： 2021-10-06 
黑龙江天辰药业有限公司,规格：20g：0.2g,阿昔洛韦凝胶,4.1,,3.77,效期： 2022-03-17 
绵阳一康制药有限公司,规格：10g*10袋,清淋颗粒,7.1,,6.53,效期： 2021-11-30 
广东华润顺峰药业有限公司,规格：10g,曲咪新乳膏,3.2,,2.94,效期： 2022-01-12 
国药集团汕头金石制药有限公司,规格：0.125g*6袋,头孢丙烯干混悬剂,6.49,,5.97,效期： 2021-05-31 
广东合纵医药器械有限公司,规格：4贴,晕车贴,2.4,,2.21,效期： 2022-03-05 
吉林省俊宏药业有限公司,规格：12片*3板,藿香清胃片,,￥5.95,5.48,效期： 2022-12-31 
重庆科瑞制药(集团)有限公司,规格：0.236g*12片,青霉素V钾片,1.93,,1.78,效期： 2021-10-31 
云南白药集团大理药业有限责任公司,规格：100片,酚氨咖敏片(克感敏片),8.2,,7.55,效期： 2021-05-31 
四川大千药业有限公司,规格：5g*10袋,辽源七厘散,15.37,,14.15,效期： 2022-10-30 
四川科伦药业股份有限公司(原四川珍珠制药),规格：150mg*6片,罗红霉素片,1.05,,0.97,效期： 2021-08-09 
太极集团四川绵阳制药有限公司,规格：6g*50包,龙胆泻肝丸,29,,26.69,效期： 2024-02-28 
珠海安生凤凰制药有限公司,规格：150mg*6粒,罗红霉素胶囊,,￥1.00,,效期： 2021-08-31 
重庆申高生化制药股份有限公司,规格：100包,阿咖酚散(解热止痛散)(方...,4.89,,4.5,效期： 2021-12-31 
苏州东瑞制药有限公司,规格：5mg*6片,盐酸左西替利嗪片,2.9,,2.67,效期： 2021-12-08 
吉林白山正茂药业股份有限公司,规格：0.2g*24片,痰咳净片,1.65,,1.52,效期： 2022-09-30 
四川古蔺肝苏药业有限公司,规格：4g*9袋,二丁颗粒,8.6,,7.91,效期： 2022-01-31 
西南药业股份有限公司,规格：40mg*100片,硫酸庆大霉素片,11.5,,10.58,效期： 2022-10-31 
西安杨森制药有限公司,规格：10mg*6片,氯雷他定片(息斯敏),20.5,,,效期： 2023-04-30 
四川科伦药业股份有限公司,规格：25mg*60片,右旋糖酐铁片,5.5,,5.06,效期： 2021-07-16 
江苏平光制药有限责任公司,规格：5mg*1000片,甲氧氯普胺片(胃复安片),,￥79.00,,效期： 2022-05-31 
广西圣特药业有限公司,规格：0.3g*100片,陈香露白露片,2.97,,2.73,效期： 2022-04-30 
四川美大康药业股份有限公司,规格：100mg*20片,利巴韦林片,3.8,,3.5,效期： 2021-08-31 
扬州市三药制药有限公司,规格：30ml*4瓶,布洛芬混悬液(恬倩),,￥10.90,,效期： 2022-03-31 
黑龙江中桂制药有限公司,规格：5ml：15mg*15支（儿童）,盐酸氨溴索口服溶液,5.8,,5.34,效期： 2022-02-18 
成都第一制药有限公司,规格：100片,复合维生素B片,5.1,,4.69,效期： 2021-04-30 
甘肃岷海制药有限责任公司,规格：0.3g*48片,蒲地蓝消炎片,3.5,,3.22,效期： 2022-11-30 
哈尔滨大洋制药股份有限公司,规格：0.25g*30粒,盆炎净胶囊,4.9,,4.51,效期： 2022-11-12 
华中药业股份有限公司,规格：0.2g*10片,阿苯达唑片,4.75,,4.37,效期： 2022-03-31 
广西凌云县制药有限责任公司,规格：10g*10袋,复方金银花颗粒,6.6,,6.07,效期： 2022-01-31 
哈药集团制药六厂,规格：12袋,小儿氨酚黄那敏颗粒,8.05,,7.41,效期： 2021-10-31 
海口奇力制药股份有限公司,规格：0.1g*6袋,阿奇霉素颗粒,2.1,,1.93,效期： 2021-11-30 
云南铭鼎药业有限公司,规格：0.4g*12粒*3板,胃康灵胶囊,5.4,,4.97,效期： 2022-12-31 
成都市卫生材料厂,规格：WS/BD 8cm*600cm,纱布绷带,2.21,,2.03,效期： 2023-04-15 
苏州俞氏药业有限公司,规格：50mg*12袋,尼美舒利颗粒,2.7,,2.48,效期： 2021-10-09 
江苏恩华药业股份有限公司（原江苏恩华药集团有限公司）,规格：100mg*12粒*4板,加巴喷丁胶囊,23.02,,21.19,效期： 2021-11-30 
广州白云山医药集团股份有限公司白云山何济公制药厂,规格：5贴**2袋*10cm*7cm,消炎镇痛膏,9.5,,8.74,效期： 2021-07-31 
广州白云山星群(药业)股份有限公司,规格：10ml*10支,安神补脑液,,￥14.20,13.07,效期： 2022-01-31 
山东仁和制药有限公司,规格：2mg*100片,盐酸赛庚啶片,2.2,,2.02,效期： 2022-11-05 
上海现代哈森(商丘)药业有限公司,规格：0.1g*100片,保泰松片,8.05,,7.41,效期： 2022-10-31 
山东方明药业集团股份有限公司,规格：5mg*60粒,盐酸氟桂利嗪胶囊,2.65,,2.44,效期： 2023-11-18 
广州花城药业有限公司,规格：10ml*12支,清脑复神液,,￥18.50,,效期： 2021-08-31 
石药集团中诺药业(石家庄)有限公司,规格：0.25g*12片,阿莫西林分散片(阿林新),2.55,,2.35,效期： 2021-05-25 
湖北东信药业有限公司,规格：0.2g*7片*2板,甲硝唑阴道泡腾片,6.1,,5.61,效期： 2021-12-31 
阿斯利康制药有限公司委托阿斯利康药业（中国）有限公司,规格：5mg*10片,非洛地平缓释片(波依定),,￥28.50,,效期： 2023-01-31 
华北制药股份有限公司,规格：0.5mg*10片*2板,甲钴胺片,5.7,,5.25,效期： 2022-02-28 
北京凯因科技股份有限公司,规格：10粒*4板,复方甘草酸苷胶囊,28,,25.77,效期： 2022-12-03 
"GlaxoWellcome,S.A.",规格：50ug*120喷,丙酸氟替卡松鼻喷雾剂(辅舒良),,￥71.50,,效期： 2022-02-28 
AstraZenecaAB,规格：2ml：5mg*20支,硫酸特布他林雾化液(YF),,￥102.00,,效期： 2022-02-28 
成都地奥制药集团有限公司,规格：0.65g*24片,银黄含片,7.8,,7.18,效期： 2021-10-27 
国药集团三益药业(芜湖)有限公司,规格：8ml(0.1%),盐酸萘甲唑啉滴鼻液,5,,4.6,效期： 2021-09-30 
河南大新药业有限公司,规格：10g,醋酸氟轻松冰片乳膏(复方醋酸氟轻松软膏),0.85,,0.78,效期： 2021-09-30 
南京白敬宇制药有限责任公司,规格：90ml：9g,蒙脱石混悬液,18.5,,17.03,效期： 2021-10-25 
湖北济安堂药业股份有限公司原湖北济安堂药业有限公司,规格：10ml*10支(玻璃管),玉屏风口服液,5.8,,5.34,效期： 2022-02-28 
重庆华森制药股份有限公司,规格：0.5g*24片,铝碳酸镁片,,￥16.80,15.46,效期： 2023-11-30 
四川依科制药有限公司,规格：51包,复方氨酚那敏颗粒,10,,9.2,效期： 2021-12-31 
山东京卫制药有限公司,规格：100ug*200揿,硫酸沙丁胺醇吸入气雾剂,15.45,,14.22,效期： 2021-10-31 
赤峰赛林泰药业有限公司,规格：100片,去痛片,8.5,,7.82,效期： 2024-05-31 
四川博仁药业有限责任公司,规格：净制(一级)0.25kg,枸杞子,,￥16.80,15.46,效期： 2023-04-15 
华北制药河北华民药业有限责任公司,规格：0.25g*24粒,头孢拉定胶囊,3.88,,3.57,效期： 2021-08-31 
华润双鹤利民药业（济南）有限公司（原济南,规格：0.5g*1片*2板,克霉唑阴道片,9.9,,9.11,效期： 2022-11-30 
赛诺菲（杭州）制药有限公司,规格：150mg/12.5mg*7片,厄贝沙坦氢氯噻嗪片,,￥13.50,,效期： 2022-08-31 
四川旭阳药业有限责任公司,规格：12片*2板,清火栀麦片,0.95,,0.87,效期： 2022-07-31 
西安利君制药有限责任公司,规格：125mg*10片*2板,琥乙红霉素片[利君沙],8,,7.36,效期： 2022-03-27 
广东新峰药业股份有限公司,规格：1g*36粒,黄柏胶囊,2.7,,2.48,效期： 2022-11-30 
Excella GmbH & Co.KG （分包装厂：昆山龙灯瑞迪制药有限公司）,规格：50mg*10片,苯溴马隆片,25.4,,23.38,效期： 2023-09-26 
四川省伊洁士医疗科技有限公司,规格：100ml,过氧化氢消毒液(双氧水),1.1,,1.01,效期： 2022-04-07 
湖北诺得胜制药有限公司,规格：30g,麻仁丸,3.1,,2.85,效期： 2023-02-28 
深圳市海滨制药有限公司,规格：0.15g*7片,厄贝沙坦片,8.6,,7.91,效期： 2021-05-31 
河南省康华药业股份有限公司,规格：6g*10袋,木香顺气丸,4.7,,4.33,效期： 2023-03-31 
西南药业股份有限公司委托太极集团四川太极制药有限公司,规格：0.5g*100片,贝诺酯片(扑炎痛片),6.6,,6.07,效期： 2022-10-31 
九江捷豹药械有限公司,规格：12cm*5cm*4片,医用退热贴(感温变色型),,￥4.50,4.14,效期： 2023-01-01 
吉林玉仁制药股份有限公司,规格：10g,康妇软膏,5.2,,4.79,效期： 2022-09-18 
赛诺菲（杭州）制药有限公司,规格：0.15g*7片,厄贝沙坦片,,￥28.50,,效期： 2022-08-31 
山东方明药业集团股份有限公司,规格：10g:50mg(0.5%),氧氟沙星凝胶,3.2,,2.94,效期： 2021-11-27 
丹东宏业制药有限公司,规格：40mg:0.6g*10粒,硫酸庆大霉素碳酸铋胶囊,2.8,,2.58,效期： 2021-08-31 
阿斯利康制药有限公司,规格：40mg*7片,艾司奥美拉唑镁肠溶片(耐信),,￥103.50,,效期： 2022-06-30 
通化万通药业股份有限公司,规格：280mg*24片,万通筋骨片,13.4,,,效期： 2021-09-30 
常州康普药业有限公司,规格：50mg*10片,苯溴马隆片,,￥12.50,,效期： 2022-11-30 
辽宁华润本溪三药有限公司,规格：2.5g*6袋,气滞胃痛颗粒,9.99,,9.19,效期： 2022-11-30 
云南白药集团股份有限公司,规格：0.25g*32粒,云南白药胶囊,32,,29.45,效期： 2022-12-31 
雷允上药业集团有限公司（原雷允上药业有限公司）,规格：10粒*6支,六神丸,,￥12.60,,效期： 2024-06-30 
上海强生制药有限公司,规格：100ml:2g,布洛芬混悬液(美林),,￥24.40,,效期： 2022-10-31 
成都市新津事丰医疗器械有限公司,规格：A型6cm*8cm*8层*180片/包,医用脱脂纱布块(无菌),,￥45.50,41.87,效期： 2022-04-15 
成都康弘药业集团股份有限公司,规格：5mg*20片,枸橼酸莫沙必利分散片,,￥19.50,,效期： 2021-09-30 
桂林三金药业股份有限公司,规格：1.8g*8片*2板,西瓜霜清咽含片,5.8,,5.34,效期： 2021-09-28 
江苏云阳集团药业有限公司,规格：1mg*60片,富马酸酮替芬片,1.7,,1.56,效期： 2022-09-30 
哈尔滨圣泰生物制药有限公司,规格：0.5g*24片,清开灵片,7.4,,6.81,效期： 2022-07-31 
国药集团致君（深圳）制药有限公司,规格：0.25g*6片,头孢呋辛酯片,,￥4.50,,效期： 2023-02-28 
广州白云山奇星药业有限公司委托广东宝丹制药有限公司,规格：10g*6袋,虚汗停颗粒,21.7,,19.97,效期： 2022-09-30 
芜湖张恒春药业有限公司,规格：200丸,知柏地黄丸,4.6,,4.23,效期： 2023-01-31 
吉林省七星山药业有限公司,规格：5mg*60粒,盐酸氟桂利嗪胶囊,2.2,,2.02,效期： 2021-12-31 
浙江惠松制药有限公司,规格：10ml*10支,复方鱼腥草合剂,10.5,,9.66,效期： 2021-12-31 
江苏远恒药业有限公司,规格：10ml,萘敏维滴眼液,4.5,,4.14,效期： 2022-03-02 
华润三九(雅安)药业有限公司,规格：120ml,小儿止咳糖浆,6.5,,5.98,效期： 2021-11-03 
重庆科瑞制药(集团)有限公司,规格：0.75mg*100片,醋酸地塞米松片,3,,2.76,效期： 2022-12-31 
成都地奥集团天府药业股份有限公司,规格：0.1g*40片,地榆升白片,25.5,,23.47,效期： 2021-03-31 
上海现代制药股份有限公司,规格：30mg*7片,硝苯地平控释片,17.8,,16.38,效期： 2022-04-30 
广东一力集团制药股份有限公司,规格：0.23g*100片,复方感冒灵片,,￥4.60,,效期： 2022-10-31 
云南昊邦制药有限公司,规格：0.1g*6粒*2板,头孢克肟胶囊,,￥4.45,,效期： 2022-11-30 
广州白云山医药集团股份有限公司白云山制药,规格：0.457g*6片,阿莫西林克拉维酸钾片,6.8,,6.26,效期： 2021-07-31 
浙江莎普爱思药业股份有限公司,规格：50mg*6袋,头孢克肟颗粒,,￥2.60,,效期： 2021-10-31 
三门峡广宇生物制药有限公司,规格：0.37g*120片,舒筋活血片,4,,3.68,效期： 2021-11-30 
长春精优药业股份有限公司,规格：10ml:10mg:300μg*6支,转移因子口服溶液,,￥7.20,,效期： 2022-03-19 
中山市恒生药业有限公司,规格：16片*20瓶/盒,清凉喉片,1.55,,1.43,效期： 2021-10-31 
湖南华纳大药厂股份有限公司,规格：100mg*36粒,胶体果胶铋胶囊,8.1,,7.45,效期： 2022-12-31 
海南制药厂有限公司委托海南制药厂有限公司制药一厂,规格：0.5g*100片,葡萄糖酸钙片,6.8,,6.26,效期： 2022-09-30 
湖北福广制药有限公司,规格：10ml*6支,蛇胆川贝液,,￥2.50,,效期： 2021-05-31 
s.a.ALCON-COUVREURn.v.,规格：5ml:15mg:5mg,妥布霉素地塞米松滴眼液,29.4,,27.06,效期： 2021-02-28 
四川省通园制药集团有限公司,规格：100ml,十滴水,3.2,,2.94,效期： 2021-07-31 
安徽环球药业股份有限公司,规格：75mg*12片*1板,厄贝沙坦片,6.7,,6.17,效期： 2022-02-10 
广州白云山医药集团股份有限公司白云山制药总厂,规格：100片,咳特灵片,,￥7.80,,效期： 2021-09-30 
山西华元医药生物技术有限公司,规格：10片*3板,苯磺酸氨氯地平片,5.5,,5.06,效期： 2022-02-28 
山东仙河药业有限公司,规格：3g*10袋,蒙脱石散,5.89,,5.42,效期： 2024-01-31 
贵州百灵企业集团制药股份有限公司,规格：12片*40袋,维C银翘片,37.8,,34.79,效期： 2022-01-09 
东北制药集团沈阳第一制药有限公司,规格：0.25g*6粒,地衣芽孢杆菌活菌胶囊(整肠生),8.4,,7.73,效期： 2022-02-28 
西安博爱制药有限责任公司,规格：10g*9袋,双辛鼻窦炎颗粒,7.3,,6.72,效期： 2022-01-12 
江苏亚邦爱普森药业有限公司,规格：2.5mg*100片,肾上腺色腙片(安络血片),11.8,,10.86,效期： 2021-09-30 
中美天津史克制药有限公司,规格：10g,莫匹罗星软膏(百多邦),23.5,,21.63,效期： 2021-12-31 
成都恒瑞制药有限公司,规格：10mg*6片,盐酸西替利嗪片(比特力),2.6,,2.39,效期： 2021-11-08 
长春普华制药股份有限公司,规格：5ml,复方熊胆滴眼液,9,,8.28,效期： 2021-06-30 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：100片,结石通片(薄膜衣片),5.6,,5.15,效期： 2022-09-30 
辰欣佛都药业(汶上)有限公司(原辰欣药业股,规格：2g(0.5%),盐酸金霉素眼膏,3.7,,3.41,效期： 2023-12-31 
上海青平药业有限公司,规格：120片,复方氢氧化铝片,5.5,,5.06,效期： 2022-07-24 
河南大新药业有限公司（原：新乡市琦宁药业有限公司）,规格：20g:15mg,复方醋酸地塞米松乳膏,1.55,,1.43,效期： 2022-02-28 
河南百年康鑫药业有限公司,规格：10ml*10支,抗病毒口服液,9.5,,8.74,效期： 2022-01-31 
北京韩美药品有限公司,规格：1克/袋*10,妈咪爱/枯草杆菌二联活菌颗粒,17.9,,16.47,效期： 2021-11-03 
双鹤药业(海南)有限责任公司(原海南中化联),规格：10mg*7片,雷贝拉唑钠肠溶片(丁齐尔),17,,15.65,效期： 2021-07-31 
湖北东信药业有限公司,规格：0.1g*24片,阿昔洛韦分散片,3.9,,3.59,效期： 2021-11-30 
新乡市常乐制药有限责任公司,规格：0.25g*100粒,硫糖铝咀嚼片,4.12,,3.79,效期： 2022-12-31 
哈尔滨大洋制药股份有限公司,规格：0.25g*12粒*2板,盆炎净胶囊,4.65,,4.28,效期： 2022-10-27 
湖南方盛制药股份有限公司,规格：3g*10袋,蒙脱石散,5.5,,5.06,效期： 2021-10-31 
江苏晨牌邦德药业有限公司,规格：80ml,复方酮康唑发用洗剂,9.9,,9.11,效期： 2022-03-24 
黑龙江天龙药业有限公司,规格：40ml,克林霉素甲硝唑搽剂,6.2,,5.71,效期： 2021-12-31 
四川金药师制药有限公司,规格：1000片,大黄碳酸氢钠片,12.4,,11.41,效期： 2021-09-30 
广西恒科药业有限公司,规格：100ml,强力枇杷露,2.8,,2.58,效期： 2021-10-31 
海口奇力制药股份有限公司,规格：0.2g*12粒,盐酸左氧氟沙星胶囊,2.5,,2.3,效期： 2022-01-31 
湖北东信药业有限公司,规格：120g,雪梨膏,3.6,,3.31,效期： 2021-06-30 
"Santen PharmaceuticalCo.,Ltd.",规格：5ml:5mg,玻璃酸钠滴眼液(爱丽),23.6,,21.72,效期： 2022-01-31 
广东恒健制药有限公司,规格：15ml,复方土槿皮酊,1.8,,1.66,效期： 2022-02-19 
广州白云山和记黄埔中药有限公司,规格：0.32g*60片,复方丹参片,8.7,,8.01,效期： 2022-03-31 
云南植物药业有限公司,规格：25mg*12片*2板,天麻素片,2.9,,2.67,效期： 2022-05-23 
广州白云山和记黄埔中药有限公司,规格：0.32g*200片,复方丹参片(薄膜衣),24.8,,22.82,效期： 2021-09-30 
山东罗欣药业集团股份有限公司,规格：10mg*10片,辛伐他汀片,1.75,,1.61,效期： 2021-11-21 
上海和黄药业有限公司,规格：22.5mg*42丸,麝香保心丸,32.5,,29.91,效期： 2022-06-30 
成都康弘药业集团股份有限公司,规格：5mg*12片,枸橼酸莫沙必利分散片,,￥12.80,,效期： 2021-09-30 
湖北东信药业有限公司,规格：5粒*2板,吲哚美辛呋喃唑酮栓(东信痔疮宁栓),6.2,,5.71,效期： 2021-12-31 
广西禅方药业股份有限公司(原广西禅方药业有限公司）,规格：100片,天麻片,3.3,,3.04,效期： 2021-10-31 
上海福达制药有限公司,规格：0.1g*100片,卡马西平片,13.8,,12.7,效期： 2022-05-31 
惠氏制药有限公司,规格：600mg*36片,碳酸钙D3片(钙尔奇D),33.2,,30.55,效期： 2022-11-03 
广西壮族自治区花红药业股份有限公司,规格：0.29g*48片,花红片,17.2,,15.83,效期： 2021-12-24 
昆明源瑞制药有限公司,规格：180掀*9ml,曲安奈德鼻喷雾剂,18,,16.57,效期： 2021-10-31 
成都锦华药业有限责任公司,规格：0.15g*100粒,利福平胶囊,23.5,,21.63,效期： 2021-07-31 
四川泰华堂制药有限公司,规格：10ml*10支,健儿消食口服液,3.3,,3.04,效期： 2022-01-31 
四川省三星堆制药有限公司,规格：0.36g*24片,炎可宁片,1.6,,1.47,效期： 2022-10-31 
亚宝药业集团股份有限公司,规格：20mg*50片,(基)尼莫地平片,3,,2.76,效期： 2022-10-31 
太极集团重庆桐君阁药厂有限公司,规格：50片,清眩片,4.77,,4.39,效期： 2022-10-31 
邯郸康业制药有限公司,规格：100ml,氢溴酸右美沙芬口服溶液,5,,4.6,效期： 2021-11-30 
黑龙江北奇神药业有限责任公司,规格：3g*10袋,润肠通秘茶,6.5,,5.98,效期： 2021-04-30 
华润双鹤药业股份有限公司(原北京双鹤药业有限公司）,规格：37.6mg*30片,复方利血平氨苯蝶啶片,,￥34.80,,效期： 2021-12-18 
河北东风药业有限公司,规格：0.1g*12片,盐酸多西环素片,2.8,,2.58,效期： 2022-10-31 
金花企业(集团)股份有限公司西安金花制药厂,规格：10ml*2支/板,开塞露(含甘油),2.3,,2.12,效期： 2023-03-31 
丽珠集团丽珠制药厂,规格：8片,枸橼酸铋钾片/替硝唑片/克拉霉素片(丽珠维三联),22,,20.25,效期： 2021-11-30 
湖北远大天天明制药有限公司(原远大医药(中国）有限公司）,规格：15ml:0.8mg,吡诺克辛钠滴眼液(白内停滴眼液),10.2,,9.39,效期： 2021-09-30 
成都倍特药业有限公司,规格：50mg*6袋,头孢克肟颗粒,3,,,效期： 2022-09-08 
广州白云山和记黄埔中药有限公司,规格：10g*9袋,感冒灵颗粒,,￥7.50,,效期： 2021-11-30 
GlaxoWellcomeS.A.（西班牙）,规格：100ug*200揿,硫酸沙丁胺醇吸入气雾剂(万托林),,￥22.00,20.25,效期： 2021-04-27 
山东广育堂国药有限公司,规格：3g,冰硼散,2.1,,1.93,效期： 2021-11-30 
广东华润顺峰药业有限公司,规格：10g,酮康他索乳膏(顺峰康王),6.65,,6.12,效期： 2022-10-16 
亚邦医药股份有限公司(原江苏亚邦爱普森药,规格：5ml:15mg,盐酸左氧氟沙星滴眼液,3.05,,2.81,效期： 2021-10-31 
四川大千药业有限公司,规格：3g*10丸,小活络丸,3,,2.76,效期： 2022-02-28 
福元药业有限公司(原福元药业股份有限公司(原安徽新和成皖南药业有限公司,规格：10g:0.3g,克霉唑乳膏,,￥2.65,2.44,效期： 2023-03-31 
浙江京新药业股份有限公司,规格：0.25g*10片,盐酸环丙沙星片,1.25,,1.15,效期： 2022-07-31 
重庆申高生化制药股份有限公司,规格：1000片,酚氨咖敏片(克感敏),72.08,,66.34,效期： 2021-09-08 
澳诺（中国）制药有限公司,规格：10ml*24支,葡萄糖酸钙锌口服溶液,31.5,,28.99,效期： 2021-11-30 
广州花城药业有限公司（原广州市花城制药厂）,规格：48片,重感灵片,3.15,,2.9,效期： 2021-12-31 
吉林佳泰制药有限公司(原吉林省辉南辉发制药股份有限公司）,规格：60片,普乐安片,4.2,,3.87,效期： 2022-12-31 
广州白云山医药集团股份有限公司白云山何济公制药厂,规格：100包,阿咖酚散(长盒),10.8,,9.94,效期： 2021-06-30 
通化万通药业股份有限公司,规格：3g*5枚,消糜栓,20.1,,18.5,效期： 2022-10-31 
重庆华森制药股份有限公司,规格：0.12g*21粒/板*1板,奥利司他胶囊,105,,96.63,效期： 2023-02-28 
广西泰诺制药有限公司(原石药控股集团广西泰诺制药有限公司),规格：100ml,小儿止咳糖浆(套盒),2.6,,2.39,效期： 2021-04-30 
新乡市常乐制药有限责任公司,规格：5mg*100片,醋酸泼尼松片,2.1,,1.93,效期： 2022-11-30 
北京以岭药业有限公司,规格：0.4g*12粒*3板,参松养心胶囊(yd),25.7,,23.65,效期： 2022-11-30 
正大青春宝药业有限公司,规格：5g(无蔗糖)*6袋,尿感宁颗粒,,￥6.90,,效期： 2022-01-31 
南京臣功制药股份有限公司,规格：252mg*12包,复方锌布颗粒(臣功再欣),,￥12.10,,效期： 2021-05-31 
上海上药信谊药厂有限公司,规格：0.25mg*100片,地高辛片,63,,57.98,效期： 2022-08-26 
海南普利制药股份有限公司,规格：0.1g*20片,马来酸曲美布汀片,6.9,,6.35,效期： 2021-07-31 
辽宁上药好护士药业（集团）有限公司,规格：0.32g*100片,乳癖消片,13.5,,12.42,效期： 2022-04-30 
广州白云山医药集团股份有限公司白云山制药总厂,规格：0.2285g*6包,阿莫西林克拉维酸钾干混悬剂(7:1)(金力舒),11,,10.12,效期： 2021-12-31 
天津中新药业集团股份有限公司第六中药厂,规格：40mg*50粒*3瓶,速效救心丸,37,,34.05,效期： 2022-05-31 
丽珠集团丽珠制药厂,规格：1g*28袋,枸橼酸铋钾颗粒(丽珠得乐),17.1,,15.74,效期： 2022-09-30 
杭州国光药业股份有限公司,规格：5ml,妥布霉素地塞米松滴眼液,6.5,,5.98,效期： 2021-10-31 
远大医药黄石飞云制药有限公司,规格：10mg*100片,雷公藤多苷片,14.8,,13.62,效期： 2022-10-31 
苏州弘森药业股份有限公司,规格：2mg*100片,硫酸沙丁胺醇片,6.2,,5.71,效期： 2021-02-28 
GlaxoSmithKlineAustraliaPtyLtd,规格：5mg/2.5ml/瓶*5瓶,吸入用硫酸沙丁胺醇溶液,,￥24.50,,效期： 2021-07-31 
四川华新制药有限公司,规格：100mg*10片,双氯芬酸钠缓释片,3.65,,3.36,效期： 2022-11-30 
广西药用植物园制药厂,规格：10g*20袋,夏桑菊颗粒,,￥6.50,,效期： 2022-03-12 
江西铜鼓仁和制药有限公司,规格：10粒,复方氨酚烷胺胶囊,6.85,,6.3,效期： 2021-10-31 
重庆科瑞制药（集团）有限公司,规格：10粒*2板,甲硝唑芬布芬胶囊,5.8,,5.34,效期： 2021-03-31 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：10g*10袋,风热感冒颗粒,6.2,,5.71,效期： 2022-02-28 
甘肃中天金丹药业有限公司,规格：0.26g*24片*1板,麻杏止咳片,1.9,,1.75,效期： 2021-11-30 
江苏亚邦爱普森药业有限公司,规格：10mg*100片,盐酸普萘洛尔片(心得安),16.7,,15.37,效期： 2021-05-28 
国药集团容生制药有限公司,规格：2ml*10支,复方氨林巴比妥注射液,4.2,,3.87,效期： 2021-09-30 
湖北东信药业有限公司,规格：0.5g*5粒*2板,甲硝唑栓,6.2,,5.71,效期： 2021-12-31 
四川梓橦宫药业股份有限公司,规格：0.2g*6片*2板,胞磷胆碱钠片(欣可来),33.46,,30.79,效期： 2022-11-30 
成都恒瑞制药有限公司,规格：0.15g*6片*2板,罗红霉素分散片,4.3,,3.96,效期： 2021-12-06 
山东步长制药股份有限公司,规格：9g*9袋,稳心颗粒,,￥24.00,22.09,效期： 2021-08-31 
江苏平光制药(焦作)有限公司,规格：40mg*100片,硫酸庆大霉素片,8.8,,8.1,效期： 2021-10-31 
浙江诚意药业股份有限公司委托山西同达药业有限公司,规格：0.24g*40粒,盐酸氨基葡萄糖胶囊,,￥14.80,,效期： 2021-11-30 
湖南汉森制药股份有限公司,规格：10ml*8支,四磨汤口服液,17.58,,16.18,效期： 2021-10-31 
广东合纵医药器械有限公司,规格：50mm*120mm*4贴,医用退热贴,4.5,,4.14,效期： 2021-11-17 
国药集团三益药业(芜湖)有限公司,规格：10g,曲咪新乳膏,2.15,,1.98,效期： 2022-02-28 
通化颐生药业股份有限公司,规格：24片,化痰平喘片,1.5,,1.38,效期： 2022-10-31 
江西珍视明药业有限公司,规格：8ml,四味珍层冰硼滴眼液(珍视明...,13.6,,12.52,效期： 2021-05-31 
四川森科制药有限公司,规格：20片*2板,复方黄连素片,4.5,,4.14,效期： 2021-11-30 
四川同人泰药业股份有限公司,规格：6g*10袋,小儿清咽颗粒,5,,4.6,效期： 2022-05-31 
长春迪瑞制药有限公司,规格：12片,复方氨酚烷胺片(铝塑板),1.5,,1.38,效期： 2022-11-19 
四川菲德力制药有限公司,规格：24片*100板/纸盒,氯芬黄敏片纸盒(感冒通片),1.55,,1.43,效期： 2021-10-31 
华中药业股份有限公司,规格：5mg*1000片,维生素B2片,16.5,,15.19,效期： 2022-06-30 
福元药业有限公司原福元药业股份有限公原安徽新和成皖南药业有限公司,规格：10g:2mg,丙酸氯倍他索乳膏(恩肤霜),1.45,,1.33,效期： 2022-02-28 
吉林邦安宝医用设备有限公司,规格：15ml,高效单体银鼻炎抗菌喷剂(比复健),8.5,,7.82,效期： 2022-11-11 
四川美大康药业股份有限公司,规格：5mg*50片,心达康片,7.4,,6.81,效期： 2021-11-30 
伊春金北药制药有限公司,规格：0.3g*24片(薄膜衣),咽炎片,1.85,,1.7,效期： 2022-01-31 
山西同达药业有限公司,规格：0.1g*100片,西咪替丁片,6,,5.52,效期： 2023-02-28 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：7g*10袋,小儿七星茶颗粒,6.8,,6.26,效期： 2021-10-31 
天津金虹胜利药业有限公司,规格：6贴,水杨酸苯酚贴膏(鸡眼膏),4.32,,3.98,效期： 2023-02-28 
成都泰合健康科技集团股份有限公司华神制药厂,规格：10ml*6支(无糖型),鼻渊舒口服液,15.2,,13.99,效期： 2023-12-31 
重庆迪康长江制药有限公司,规格：0.25g*100片,氯霉素片,17,,15.65,效期： 2022-03-19 
